TIME,SPEED
1.212,193.2801
1.214,193.2688
1.216,193.2574
1.218,193.2460
1.220,193.2346
1.222,193.2232
1.224,193.2118
1.226,193.2004
1.228,193.1890
1.230,193.1776
1.232,193.1662
1.234,193.1548
1.236,193.1434
1.238,193.1320
1.240,193.1206
1.242,193.1092
1.244,193.0978
1.246,193.0865
1.248,193.0751
1.250,193.0637
1.252,193.0523
1.254,193.0409
1.256,193.0295
1.258,193.0182
1.260,193.0068
1.262,192.9954
1.264,192.9840
1.266,192.9727
1.268,192.9613
1.270,192.9499
1.272,192.9385
1.274,192.9272
1.276,192.9158
1.278,192.9044
1.280,192.8931
1.282,192.8817
1.284,192.8703
1.286,192.8590
1.288,192.8476
1.290,192.8362
1.292,192.8249
1.294,192.8135
1.296,192.8022
1.298,192.7908
1.300,192.7794
1.302,192.7681
1.304,192.7567
1.306,192.7454
1.308,192.7340
1.310,192.7227
1.312,192.7113
1.314,192.7000
1.316,192.6886
1.318,192.6773
1.320,192.6659
1.322,192.6546
1.324,192.6432
1.326,192.6319
1.328,192.6206
1.330,192.6092
1.332,192.5979
1.334,192.5866
1.336,192.5752
1.338,192.5639
1.340,192.5526
1.342,192.5413
1.344,192.5299
1.346,192.5186
1.348,192.5073
1.350,192.4960
1.352,192.4846
1.354,192.4733
1.356,192.4620
1.358,192.4507
1.360,192.4394
1.362,192.4280
1.364,192.4167
1.366,192.4054
1.368,192.3941
1.370,192.3828
1.372,192.3715
1.374,192.3602
1.376,192.3488
1.378,192.3375
1.380,192.3262
1.382,192.3149
1.384,192.3036
1.386,192.2923
1.388,192.2810
1.390,192.2697
1.392,192.2584
1.394,192.2471
1.396,192.2358
1.398,192.2245
1.400,192.2132
1.402,192.2019
1.404,192.1906
1.406,192.1793
1.408,192.1680
1.410,192.1567
1.412,192.1454
1.414,192.1341
1.416,192.1228
1.418,192.1115
1.420,192.1003
1.422,192.0890
1.424,192.0777
1.426,192.0664
1.428,192.0551
1.430,192.0439
1.432,192.0326
1.434,192.0213
1.436,192.0100
1.438,191.9987
1.440,191.9875
1.442,191.9762
1.444,191.9649
1.446,191.9537
1.448,191.9424
1.450,191.9311
1.452,191.9199
1.454,191.9086
1.456,191.8974
1.458,191.8861
1.460,191.8748
1.462,191.8636
1.464,191.8523
1.466,191.8410
1.468,191.8298
1.470,191.8186
1.472,191.8073
1.474,191.7961
1.476,191.7848
1.478,191.7735
1.480,191.7623
1.482,191.7510
1.484,191.7398
1.486,191.7285
1.488,191.7173
1.490,191.7061
1.492,191.6948
1.494,191.6836
1.496,191.6723
1.498,191.6611
1.500,191.6498
1.502,191.6386
1.504,191.6273
1.506,191.6161
