Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,km/h,,,,,km,G,G,G,kW,kW,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,%,,,,%,mm,mm
5539.00000,0.48000,18.71049,11.07800,292.98230,1.00000,0.00000,0.00000,0.00000,0.00000,528.64230,139.94870,2345.82200,-1.63004,146.65520,-0.10394,16.32600,100.00000,0.00000,1.00000,146.55690,0.00000,0.00000,0.00000,4.00000,0.01869,0.98025,1.64170,-0.00827,268.87100,531.12800,799.99900,779.21840,0.10361,1467.49200,1473.43600,816.91470,1801.48200,1676.20500,3213.74300,194.39360,194.91010,193.46260,195.46120,-52.98080,52.10853,56.88670,57.89042,77.58170,1466.84900,1467.69800,1473.80200,1475.27600,100.00000,1.76950,3.06333,1.00517,36.61410,60.00000,78.00000
5549.00000,0.50000,19.53514,11.09800,293.85080,1.00000,0.00000,0.00000,0.00000,0.00000,529.32910,139.98090,2345.29600,-1.66510,145.61640,-0.05643,16.39440,100.00000,0.00000,1.00000,148.43880,0.00000,0.00000,0.00000,4.00000,0.01956,0.89079,1.59747,0.28059,268.83400,531.16500,799.99900,780.06370,0.10808,1454.04800,1460.74300,776.37850,1192.02700,1789.18600,3428.76000,190.98620,191.66730,189.92200,191.70990,-57.19680,51.40293,56.44539,57.45882,77.21665,1452.35400,1451.27300,1458.66400,1458.62200,100.00000,1.85576,3.08449,1.00636,37.56401,59.00000,78.00000
5559.00000,0.52000,20.40813,11.11800,294.72380,1.00000,0.00000,0.00000,0.00000,0.00000,530.01720,140.01460,2344.76400,-1.72028,144.47580,0.07611,16.59220,100.00000,0.00000,1.00000,150.29900,0.00000,0.00000,0.00000,4.00000,0.02043,0.64154,1.52585,0.17825,265.90900,534.09000,799.99900,780.84280,0.11254,1436.24100,1432.08700,858.80880,1273.18500,1702.07400,3491.87800,187.91100,189.01540,187.09980,188.86320,-60.64464,50.43647,56.99119,57.39799,76.98444,1434.80300,1435.50200,1430.33500,1431.49000,100.00000,1.85823,3.08635,1.00636,37.58107,59.00000,78.00000
5569.00000,0.54000,21.28542,11.13800,295.60110,1.00000,0.00000,0.00000,0.00000,0.00000,530.70650,140.04950,2344.22700,-1.79086,143.26350,0.20804,16.90710,100.00000,0.00000,1.00000,152.10590,0.00000,0.00000,0.00000,4.00000,0.02130,1.40361,1.73932,0.26771,270.88400,529.11500,799.99900,781.56350,0.11700,1410.62300,1415.35000,887.61050,1395.80900,1703.86500,3458.96500,187.30360,188.51630,185.13470,186.69920,-65.14737,49.18969,57.48656,57.75049,76.98902,1413.29700,1411.43900,1414.22100,1413.92200,100.00000,1.85856,3.08677,1.00636,37.58208,60.00000,79.00000
5579.00000,0.56000,22.16685,11.15800,296.48250,1.00000,0.00000,0.00000,0.00000,0.00000,531.39790,140.08550,2343.68600,-1.88077,141.95640,0.26054,17.13460,100.00000,0.00000,1.00000,153.81890,0.00000,0.00000,0.00000,4.00000,0.02218,0.76683,1.12777,0.30860,257.30100,542.69800,799.99900,782.23190,0.12147,1417.33700,1397.35400,57.33582,1258.43000,1604.15700,3653.05400,186.28690,186.82790,180.69570,182.75360,-68.66519,49.72228,57.11916,56.82159,76.76974,1416.28800,1417.33600,1393.40100,1396.00400,100.00000,1.82068,3.05451,1.00752,37.34584,59.00000,78.00000
5589.00000,0.58000,23.05322,11.17800,297.36890,1.00000,0.00000,0.00000,0.00000,0.00000,532.08970,140.12180,2343.13800,-1.96606,140.58140,0.39425,17.09540,100.00000,0.00000,1.00000,155.69990,0.00000,0.00000,0.00000,4.00000,0.02306,1.06995,1.61208,0.45530,240.23300,559.76600,799.99900,782.85340,0.12593,1398.01200,1360.77800,465.31220,1880.03300,1573.50400,3902.33000,183.62090,184.12950,175.47750,177.82320,-74.07217,50.14268,56.89582,53.65610,76.79001,1397.11200,1397.38200,1357.96500,1358.16300,100.00000,1.85885,3.10776,1.00510,37.42701,59.00000,77.00000
5599.00000,0.60000,23.94395,11.19800,298.25960,1.00000,0.00000,0.00000,0.00000,0.00000,532.78310,140.15870,2342.58400,-2.02066,139.09830,0.49850,16.91100,100.00000,0.00000,1.00000,157.44920,0.00000,0.00000,0.00000,4.00000,0.02395,1.21653,1.64734,0.01121,227.05800,572.94100,799.99900,783.43290,0.13039,1377.46500,1325.21800,948.54740,1696.24600,1544.92200,4058.15300,180.00670,180.81640,171.78380,173.89700,-77.28011,50.04707,56.95620,52.86774,76.70379,1374.55200,1375.59800,1322.98000,1322.75200,100.00000,1.91277,3.11562,1.00636,38.03951,59.00000,79.00000
5609.00000,0.62000,24.83951,11.21800,299.15520,1.00000,0.00000,0.00000,0.00000,0.00000,533.47780,140.19640,2342.02500,-2.06332,137.54520,0.57000,16.77530,100.00000,0.00000,1.00000,159.13750,0.00000,0.00000,0.00000,4.00000,0.02484,1.40611,1.84146,0.18247,227.61200,572.38800,800.00000,783.97450,0.13486,1348.88300,1300.19000,833.93330,1702.42200,1593.45600,4160.57300,176.64340,177.62460,168.22370,169.62720,-80.84385,50.00150,56.85499,53.48459,76.33504,1347.36400,1346.65300,1297.18000,1296.02900,100.00000,1.93433,3.14517,1.00510,38.08116,58.00000,78.00000
5619.00000,0.64000,25.73940,11.23800,300.05510,1.00000,0.00000,0.00000,0.00000,0.00000,534.17360,140.23520,2341.46000,-2.12723,135.92970,0.70680,16.67250,100.00000,0.00000,1.00000,160.64620,0.00000,0.00000,0.00000,4.00000,0.02573,0.49618,1.58172,-0.21469,225.37200,574.62700,799.99900,784.48180,0.13932,1320.97000,1273.53000,1172.76900,1696.14200,1585.16200,4099.55400,173.05040,174.28210,167.41350,168.07100,-79.50858,49.32153,57.28960,55.31087,75.28317,1320.19000,1319.97900,1273.07700,1272.84300,100.00000,2.03721,3.17000,1.00622,39.12283,59.00000,75.00000
5629.00000,0.66000,26.64301,11.25800,300.95870,1.00000,0.00000,0.00000,0.00000,0.00000,534.87130,140.27550,2340.89100,-2.23837,134.32210,0.83273,16.53050,100.00000,0.00000,1.00000,161.77900,0.00000,0.00000,0.00000,4.00000,0.02663,-0.67119,1.02782,-0.31917,235.14400,564.85500,799.99900,784.95790,0.14378,1318.21200,1268.72900,-216.85340,1753.48100,1386.43100,4049.39600,176.18590,176.46100,167.23940,167.67620,-76.22997,51.07901,57.33952,57.05744,72.92345,1325.63600,1323.07800,1265.06500,1267.86300,100.00000,1.87156,3.26057,0.99685,36.46748,61.00000,71.00000
