x;y;u;v;column;row
0.3793;0.3158;0.4085;0.3719;11;6
0.4138;0.3158;0.4408;0.3729;12;6
0.4483;0.3158;0.4729;0.3736;13;6
0.4828;0.3158;0.5049;0.3740;14;6
0.5172;0.3158;0.5370;0.3740;15;6
0.5517;0.3158;0.5691;0.3737;16;6
0.5862;0.3158;0.6014;0.3730;17;6
0.6207;0.3158;0.6340;0.3720;18;6
0.6552;0.3158;0.6670;0.3706;19;6
0.6897;0.3158;0.7004;0.3688;20;6
0.7241;0.3158;0.7343;0.3667;21;6
0.7586;0.3158;0.7689;0.3642;22;6
0.7931;0.3158;0.8043;0.3613;23;6
0.8276;0.3158;0.8405;0.3580;24;6
0.8621;0.3158;0.8777;0.3542;25;6
0.8966;0.3158;0.9160;0.3500;26;6
0.9310;0.3158;0.9555;0.3454;27;6
0.9655;0.3158;0.9964;0.3403;28;6
1.0000;0.3158;1.0388;0.3347;29;6
0.0000;0.3684;0.0165;0.3881;0;7
0.0345;0.3684;0.0568;0.3929;1;7
0.0690;0.3684;0.0959;0.3974;2;7
0.1034;0.3684;0.1338;0.4014;3;7
0.1379;0.3684;0.1706;0.4050;4;7
0.1724;0.3684;0.2065;0.4083;5;7
0.2069;0.3684;0.2417;0.4112;6;7
0.2414;0.3684;0.2760;0.4138;7;7
0.2759;0.3684;0.3098;0.4161;8;7
0.3103;0.3684;0.3431;0.4180;9;7
0.3448;0.3684;0.3760;0.4196;10;7
0.3793;0.3684;0.4085;0.4209;11;7
0.4138;0.3684;0.4408;0.4218;12;7
0.4483;0.3684;0.4729;0.4225;13;7
0.4828;0.3684;0.5049;0.4229;14;7
0.5172;0.3684;0.5370;0.4229;15;7
0.5517;0.3684;0.5691;0.4227;16;7
0.5862;0.3684;0.6014;0.4221;17;7
0.6207;0.3684;0.6340;0.4213;18;7
0.6552;0.3684;0.6670;0.4201;19;7
0.6897;0.3684;0.7004;0.4186;20;7
0.7241;0.3684;0.7343;0.4168;21;7
0.7586;0.3684;0.7689;0.4146;22;7
0.7931;0.3684;0.8043;0.4121;23;7
0.8276;0.3684;0.8405;0.4093;24;7
0.8621;0.3684;0.8777;0.4060;25;7
0.8966;0.3684;0.9160;0.4024;26;7
0.9310;0.3684;0.9555;0.3984;27;7
0.9655;0.3684;0.9964;0.3940;28;7
1.0000;0.3684;1.0388;0.3891;29;7
0.0000;0.4211;0.0165;0.4412;0;8
0.0345;0.4211;0.0568;0.4454;1;8
0.0690;0.4211;0.0959;0.4492;2;8
0.1034;0.4211;0.1338;0.4527;3;8
0.1379;0.4211;0.1706;0.4559;4;8
0.1724;0.4211;0.2065;0.4588;5;8
0.2069;0.4211;0.2417;0.4613;6;8
0.2414;0.4211;0.2760;0.4636;7;8
0.2759;0.4211;0.3098;0.4656;8;8
0.3103;0.4211;0.3431;0.4673;9;8
0.3448;0.4211;0.3760;0.4687;10;8
0.3793;0.4211;0.4085;0.4698;11;8
0.4138;0.4211;0.4408;0.4707;12;8
0.4483;0.4211;0.4729;0.4713;13;8
0.4828;0.4211;0.5049;0.4717;14;8
0.5172;0.4211;0.5370;0.4718;15;8
0.5517;0.4211;0.5691;0.4716;16;8
0.5862;0.4211;0.6014;0.4712;17;8
0.6207;0.4211;0.6340;0.4705;18;8
0.6552;0.4211;0.6670;0.4696;19;8
0.6897;0.4211;0.7004;0.4684;20;8
0.7241;0.4211;0.7343;0.4668;21;8
0.7586;0.4211;0.7689;0.4650;22;8
0.7931;0.4211;0.8043;0.4630;23;8
0.8276;0.4211;0.8405;0.4606;24;8
0.8621;0.4211;0.8777;0.4578;25;8
0.8966;0.4211;0.9160;0.4548;26;8
0.9310;0.4211;0.9555;0.4514;27;8
0.9655;0.4211;0.9964;0.4477;28;8
1.0000;0.4211;1.0388;0.4436;29;8
0.0000;0.4737;0.0165;0.4942;0;9
0.0345;0.4737;0.0568;0.4978;1;9
0.0690;0.4737;0.0959;0.5011;2;9
0.1034;0.4737;0.1338;0.5041;3;9
0.1379;0.4737;0.1706;0.5068;4;9
0.1724;0.4737;0.2065;0.5092;5;9
0.2069;0.4737;0.2417;0.5114;6;9
0.2414;0.4737;0.2760;0.5134;7;9
0.2759;0.4737;0.3098;0.5151;8;9
0.3103;0.4737;0.3431;0.5166;9;9
0.3448;0.4737;0.3760;0.5178;10;9
0.3793;0.4737;0.4085;0.5188;11;9
0.4138;0.4737;0.4408;0.5196;12;9
0.4483;0.4737;0.4729;0.5202;13;9
0.4828;0.4737;0.5049;0.5206;14;9
0.5172;0.4737;0.5370;0.5207;15;9
0.5517;0.4737;0.5691;0.5206;16;9
0.5862;0.4737;0.6014;0.5203;17;9
0.6207;0.4737;0.6340;0.5198;18;9
0.6552;0.4737;0.6670;0.5191;19;9
0.6897;0.4737;0.7004;0.5181;20;9
0.7241;0.4737;0.7343;0.5169;21;9
0.7586;0.4737;0.7689;0.5155;22;9
0.7931;0.4737;0.8043;0.5138;23;9
0.8276;0.4737;0.8405;0.5119;24;9
0.8621;0.4737;0.8777;0.5097;25;9
0.8966;0.4737;0.9160;0.5072;26;9
0.9310;0.4737;0.9555;0.5044;27;9
0.9655;0.4737;0.9964;0.5014;28;9
1.0000;0.4737;1.0388;0.4980;29;9
0.0000;0.5263;0.0165;0.5472;0;10
0.0345;0.5263;0.0568;0.5502;1;10
0.0690;0.5263;0.0959;0.5529;2;10
0.1034;0.5263;0.1338;0.5554;3;10
0.1379;0.5263;0.1706;0.5577;4;10
0.1724;0.5263;0.2065;0.5597;5;10
0.2069;0.5263;0.2417;0.5615;6;10
0.2414;0.5263;0.2760;0.5632;7;10
0.2759;0.5263;0.3098;0.5646;8;10
0.3103;0.5263;0.3431;0.5659;9;10
0.3448;0.5263;0.3760;0.5669;10;10
0.3793;0.5263;0.4085;0.5678;11;10
0.4138;0.5263;0.4408;0.5685;12;10
0.4483;0.5263;0.4729;0.5691;13;10
0.4828;0.5263;0.5049;0.5694;14;10
0.5172;0.5263;0.5370;0.5696;15;10
0.5517;0.5263;0.5691;0.5696;16;10
0.5862;0.5263;0.6014;0.5694;17;10
0.6207;0.5263;0.6340;0.5691;18;10
0.6552;0.5263;0.6670;0.5686;19;10
0.6897;0.5263;0.7004;0.5679;20;10
0.7241;0.5263;0.7343;0.5670;21;10
0.7586;0.5263;0.7689;0.5659;22;10
0.7931;0.5263;0.8043;0.5646;23;10
0.8276;0.5263;0.8405;0.5632;24;10
0.8621;0.5263;0.8777;0.5615;25;10
0.8966;0.5263;0.9160;0.5596;26;10
0.9310;0.5263;0.9555;0.5575;27;10
0.9655;0.5263;0.9964;0.5551;28;10
1.0000;0.5263;1.0388;0.5525;29;10
0.0000;0.5789;0.0165;0.6003;0;11
0.0345;0.5789;0.0568;0.6026;1;11
0.0690;0.5789;0.0959;0.6048;2;11
0.1034;0.5789;0.1338;0.6067;3;11
0.1379;0.5789;0.1706;0.6085;4;11
0.1724;0.5789;0.2065;0.6102;5;11
0.2069;0.5789;0.2417;0.6116;6;11
0.2414;0.5789;0.2760;0.6130;7;11
0.2759;0.5789;0.3098;0.6141;8;11
0.3103;0.5789;0.3431;0.6152;9;11
0.3448;0.5789;0.3760;0.6161;10;11
0.3793;0.5789;0.4085;0.6168;11;11
0.4138;0.5789;0.4408;0.6174;12;11
0.4483;0.5789;0.4729;0.6179;13;11
0.4828;0.5789;0.5049;0.6183;14;11
0.5172;0.5789;0.5370;0.6185;15;11
0.5517;0.5789;0.5691;0.6186;16;11
0.5862;0.5789;0.6014;0.6185;17;11
0.6207;0.5789;0.6340;0.6184;18;11
0.6552;0.5789;0.6670;0.6181;19;11
0.6897;0.5789;0.7004;0.6176;20;11
0.7241;0.5789;0.7343;0.6170;21;11
0.7586;0.5789;0.7689;0.6163;22;11
0.7931;0.5789;0.8043;0.6155;23;11
0.8276;0.5789;0.8405;0.6144;24;11
