TIME,DISTANCE,SPEED,POWERELECTRICALTOTAL
5.608,247.355,24.69907,3.043
5.628,247.849,24.69907,20.151
5.648,248.342,24.69907,25.764
5.668,248.835,24.54491,24.996
5.688,249.327,24.54491,24.282
5.708,249.819,24.54491,30.39
5.728,250.311,24.54491,48.249
5.748,250.803,24.54491,73.854
5.768,251.295,24.50089,108.804
5.788,251.787,24.50089,154.848
5.808,252.281,24.50089,203.295
5.828,252.776,24.50089,236.386
5.848,253.273,24.50089,257.085
5.868,253.773,25.00837,257.085
5.888,254.276,25.00837,258.591
5.908,254.781,25.00837,260.365
5.928,255.289,25.00837,265.624
5.948,255.8,25.00837,275.61
5.968,256.313,25.69548,282.058
5.988,256.829,25.69548,281.694
6.008,257.349,25.69548,281.694
6.028,257.871,25.69548,281.694
6.048,258.395,25.69548,281.694
6.068,258.922,26.42441,290.485
6.088,259.452,26.42441,299.83
6.108,259.986,26.42441,316.626
6.128,260.522,26.42441,345.441
6.148,261.062,26.42441,369.285
6.168,261.605,27.2488,387.867
6.188,262.153,27.2488,409.432
6.208,262.705,27.2488,425.628
6.228,263.26,27.2488,436.858
6.248,263.82,27.2488,447.763
6.268,264.384,28.31987,458.223
6.288,264.952,28.31987,467.577
6.308,265.525,28.31987,477.975
6.328,266.103,28.31987,495.037
6.348,266.686,28.31987,503.091
6.368,267.275,29.60236,509.745
6.388,267.869,29.60236,516.316
6.408,268.468,29.60236,520.677
6.428,269.072,29.60236,526.285
6.448,269.681,29.60236,532.14
6.468,270.296,30.89951,532.14
6.488,270.916,30.89951,530.449
6.508,271.541,30.89951,530.449
6.528,272.171,30.89951,530.449
6.548,272.806,30.89951,530.449
6.568,273.447,32.17271,530.449
6.588,274.092,32.17271,530.449
6.608,274.741,32.17271,530.449
6.628,275.396,32.17271,538.81
6.648,276.055,32.17271,548.926
6.668,276.718,33.3953,561.748
6.688,277.387,33.3953,581.289
6.708,278.062,33.3953,606.484
6.728,278.743,33.3953,637.447
6.748,279.43,33.3953,684.156
6.768,280.122,34.82935,723.707
6.788,280.82,34.82935,750
6.808,281.525,34.82935,750
6.828,282.235,34.82935,750
6.848,282.951,34.82935,750
6.868,283.673,36.4041,750
